No;Nama Organisasi;;Profil Organisasi;Alamat Organisasi;"Kontak Lembaga/
Kontak Layanan";Email Lembaga;Layanan Yang Diberikan;
29;Solidaritas Perempuan untuk Kemanusiaan dan Hak Asasi Manusia;;"Solidaritas Perempuan untuk Kemanusiaan dan Hak Asasi Manusia (SPEK-HAM) Solo, adalah sebuah organisasi non profit, independen, mandiri, yang merupakan kumpulan orang-orang berlatar belakang gerakan mahasiswa, organisasi sosial, serta bersifat pluralis, dengan komitmen pada penegakan Hak Asasi Manusia khususnya Hak Asasi Perempuan. Didirikan  pada tanggal 20 November 1998. 
 
Sejak awal berdirinya, SPEK-HAM telah melakukan berbagai upaya penguatan dan membangun kesadaran masyarakat sipil khususnya pada isu ketidakadilan terhadap perempuan dengan menggunakan perspektif gender, HAM, dan pluralisme sebagai landasan gerak organisasi dalam memperjuangkan visi dan tujuannya. 
 
SPEK-HAM memiliki mandat Bersama masyarakat mendorong tanggung jawab negara untuk memenuhi kebutuhan dan hak dasar perempuan dan kelompok rentan utamanya terkait dengan hak terbebas dari kekerasan, keadilan atas pangan, kesehatan dan kelestarian ekosistem. 
 
Sedangkan misi nya sendiri: 
1.         Meningkatkan kapasitas perempuan dan kelompok rentan dalam memperkuat pranata sosial yang berkeadilan gender dan HAM, khususnya di bidang akses keadilan, kesehatan  dan penghidupan berkelanjutan.
2.         Memperkuat akses, kontrol, pengelolaan dan pemanfaatan sumber daya alam,  pelestarian ekosistem, serta mitigasi dan adaptasi perubahan iklim bagi perempuan dan kelompok rentan.
3.         Mengembangkan prakarsa untuk keberlanjutan organisasi melalui sistem pengelolaan pengetahuan, kemitraan strategis dan  optimalisasi sumber daya di masyarakat.
 
SPEK-HAM  memiliki nilai-nilai feminis, sisterhood, inklusif, pluralis, kejujuran dan kemandirian. Sedangkan prinsip yang dimiliki SPEK-HAM  adalah keadilan subtantif, kesetaran gender, anti kekerasan, non diskriminatif, transparan dan akuntabel. 
 
Isu strategis yang dilakukan diantaranya:
1. Penanganan kasus kekerasan berbasis gender dengan mengedepankan keadilan subtantif dan keadilan bagi korban. 
2. Penguatan penghidupan berkelanjutan dengan memaksimalkan potesi wilayah dampingan sebagai penghidupan berkelanjutan. 
3. Akses kesehatan masyarakat sebagai salah satu hak dasar dan kebutuhan dasar terutama kebutuhan kesehatan reproduksi  bagi perempuan.";Jalan Srikoyo No. 20 RT 01 RW 04, Karangasem, Laweyan, Surakarta, Jawa Tengah;";    0271 714057
;    +62 838-3666-2020";spek-ham@indo.net.id;";Konsultasi hukum
;Pendampingan hukum (Litigasi)
;Konseling dengan psikolog
;Konseling dengan konselor komunitas
;Pemberdayaan Ekonomi
;Mediasi
;Pertemuan  Kelompok Dukungan Sebaya";
30;Women's Crisis Centre (WCC) Palembang;;"Women’S Crisis Center (WCC) Palembang didirikan tanggal 22 September 1998, dikukuhkan melalui Akta Notaris (Janti Gunardi, SH) Nomor 8 Tepatnya tanggal 16 April 2000 serta Surat Keterangan Terdaftar di Direktorat Sosial Politik Nomor 220/121/Sospol/99 tertanggal 21 Juni 1999 sebagai Organisasi yang membela hak-hak perempuan, diprakarsai oleh beberapa aktivis perempuan dan Pengacara yang ada di Palembang.
 
Yang melatarbelakangi berdirinya WCC Palembang karena :
1. Adanya ketidakadilan gender baik di rumah tangga, sekolah, tempat kerja, organisasi pemerintahan maupun non pemerintahan
2. Cara berfikir suatu individu, suku, budaya, agama bahkan suatu negara menyebabkan perempuan berada dalam posisi subordinat, menjadi warga negara kelas dua. 
3. Banyak terjadi tindak kekerasan terhadap perempuan di Propinsi Sumatera Selatan umumnya dan di Kota Palembang khususnya
 
VISI WCC PALEMBANG :Terciptanya kesamaan derajat dan martabat antara perempuan dan laki-laki sebagai manusia dan terciptanya kehidupan yang damai, sejahtera, aman (bebas dari rasa takut dan ancaman kekerasan serta diskriminasi).
 
MISI WCC PALEMBANG :
1.         Meningkatkan kesadaran publik bahwa kekerasan terhadap perempuan adalah persoalan sosial dan merupakan pelanggaran HAM.
2.         Mengupayakan pencegahan, perlindungan, pendampingan dan pemberdayaan perempuan korban kekerasan.
3.         Membangun jaringan dengan lembaga pemerintahan dan lembaga publik lainnya yang mempunyai kepedulian yang sama.
4.         Memperkuat jaringan kerjasama dengan semua pihak yang peduli dalam penghapusan segala bentuk kekerasan terhadap perempuan.";Jl. Musi 3 Komplek Way Hitam Blok H68, Kelurahan Siring Agung, Ilir Barat I, Kota Palembang, Sumatera Selatan;";082175653235";wcc_plg@hotmail.com;";Pendampingan hukum (Litigasi)
;Konseling dengan psikolog
;Konseling dengan konselor komunitas
;Konsultasi hukum
;Pendampingan medis";
31;LBH APIK MEDAN;;Lembaga Bantuan Hukum Asosiasi Perempuan Indonesia untuk Keadilan berdiri pada tahun 1997, yang memiliki misi Mengupayakan Perubahan Hukum Di Tingkat Substansi, Struktur dan Kultur, Membangun Gerakan Sosial Untuk Keadilan Bagi Perempuan, dan memiliki visi agar Terwujudnya Masyarakat Yang INKLUSIF, SETARA ADIL Dan BERKELANJUTAN Melalui Perubahan Sistem Hukum.;Jl. Jermal VII No. 26B, Denai, Medan Denai, Medan, Sumatra Utara;";082115063359";admlbhapikmedan@gmail.com;";Rumah aman
;Konsultasi hukum
;Pendampingan hukum (Litigasi)
; Mediasi";
32;Yayasan GASIRA Maluku;;"GASIRA ( LembaGa KAjian dan AdvokaSI untuk PembeRdayaan PerempuAn) Maluku.
Sebuah organisasi masyarakat sipil berbadan hukum dan berbentuk yayasan dan berkedudukan di Kota Ambon. Bekerja untuk pemenuhan hak asasi perempuan melalui pendidikan, advokasi dan layanan untuk pemberdayaan perempuan di Maluku.";Jl. Dr. Kayadoe 002/05, Kudamati, Kecamatan Nusaniwe, Kota Ambon, Maluku;"; 0911-383 1159";gasiramaluku@yahoo.com;"; Mediasi
;Layanan medis
;Rumah aman
;Konsultasi hukum
;Konseling dengan konselor komunitas
;Konseling dengan psikolog";
33;RUMAH PEREMPUAN KUPANG;;"Rumah Perempuan kupang adalah lembaga non pemerintah yg bekerja utk isu ketidakadilan gender, kekerasan terhadap perempuan dan anak, dengan cara melakukan  advocating,  komunikasi informasi dan education ( KIE) ,, pengorganisasian masyarakat dan membangun jejaring. Rumah perempuan kupang berdiri sejak 15 September 2000. 
Rumah Perempuan Bekerja dengan Visi....Misi.... Nilai: anti kekerasan, non diskriminasi,  trasparansi, akuntabel ,. rumah perempuan mempunyai";Jl.Timor Raya KM  14, Desa Mata Air, Kupang Tengah, Kabupaten Kupang, Nusa Tenggara Timur;";081333999514";rmhperempuan@yahoo.co.id;";Konseling dengan konselor komunitas
;Rumah aman
;Mediasi";
34;WCC Dian Mutiara Parahita;;Didirikan pada 20 Mei 2002. Visi : Penegakan HAP dan HAA. Misi : Pemenuhan kebutuhan praktis dan strategis gender. Memberikan layanan terpadu : Aspek hukum, psikososial dan medikolegal secara gratis karena konsultan dan konselor WCC didukung penuh oleh para perempuan pada ketiga bidang tersebut. Tahun 2022 mendapat pengaduan 141 kasus.;Jl. Jombang gg.IIIA no.01, Gadingkasri, Klojen, Kota Malang, Jawa Timur;";082245175700";wccdianmutiara@gmail.com;";Mediasi
;Pendampingan hukum (Litigasi)
;Konsultasi hukum
;Pemberdayaan Ekonomi
;Konseling dengan konselor komunitas
;Evakuasi
;Konseling dengan psikolog
;Layanan medis
;Rumah aman";
35;PUAN AMAL HAYATI CIPASUNG;;"PUAN  Amal Hayati (PAH) Cipasung berdiri pada tanggal 13 September 2004, merupakan lembaga sosial kemanusiaan yang melakukan serangkaian upaya untuk menegakkan keadilan dan pemberdayaan bagi perempuan terutama yang menjadi korban kekerasan melalui pendampingan, advokasi dan kajian kitab agama.
Dalam hal sebagai pusat perlindungan bagi perempuan korban kekerasan, PUAN Amal Hayati Cipasung memberikan layanan konsultasi, konseling, home visite, mediasi, pendampingan (hukum, medis dan spritual), rujukan dan shelter.
Untuk mendukung dan memperluas kinerja pendampingan, dalam perjalanannya PAH Cipasung telah melakukan pendampingan komunitas pada beberapa pesantren yang ada diwilayah kabupaten Tasikmalaya dan komunitas ormas perempuan. Selain itu menjalin kerjasama baik dengan eksekutif, legislatif dan APH.";SMK Kes.KH Moh Ilyas Ruhiat, Jalan Raya Timur Singaparna Kp. Rujakgedang Desa Cipakat Kec.Singaparna Kab.Tasikmalaya, Jawa Barat;";(0265)543624
;081320791434";puan_cps@yahoo.com;";Konsultasi hukum
;Konseling dengan konselor komunitas
;Pendampingan hukum (Litigasi)
;Layanan medis
;Mediasi
;Rumah aman
;Pendampingan Spiritualitas";
36;LBH APIK NTB;;"LBH APIK NTB BERDIRI TAHUN 2001
Visi       :Terwujudnya Masyarakat yang adil gender, bebas    dari segala bentuk  eksploitasi dan diskriminasi
MISI:
          Melakukan  pembelaan, pendampingan dan pelayanan hukum terhadap   kelompok miskin yang terpinggirkan (perempuan, anak, lansia, difafel dan LGBT).
          Mengembangkan kesadaran akan hak asasi manusia dengan fokus kepada hak asasi kelompok miskin yang terpinggirkan (perempuan, anak, lansia, difabel  
 Mendorong terjadi pembaharuan nilai dalam semua peraturan perundang-undangan/perda dankebijakan yang bermanifEstasi idiologi patriarki dan mendorong terjadinya kebijakan yang adil gender.
Mengembangkan kapasitas jaringan kerja untuk memperjuangkan hak asasi dibidang hukum, pendidikan, ekonomi, politik, dan kesehatan yang berpihak pada kelompok miskin yang terpinggrikan (perempuan, anak, lansia, 
Mengembangkan kapasitas sumber daya ekonomi menuju kemandirian organisasi";Jl. Dr. Soetomo No 19, Karang Baru, Selaparang, Kota Mataram, Nusa Tenggara Barat;";0370634111 
;085239135303";lbhapikntb17@gmail.com;";Mediasi
;Pemberdayaan Ekonomi
;Konseling dengan konselor komunitas
;Pendampingan hukum (Litigasi)
;Konsultasi hukum
;Konseling dengan Psikolog
;Rumah Aman
;Layanan Medis dengan sistem rujukan yang bekerjasama dengan UPTD PPA";
37;LRC-KJHAM;;"Legal Resources Center Keadilan Jender dan Hak Asasi Manusia atau LRC-KJHAM adalah organisasi non pemerintah yang berdomisili di Jl. Kauman Raya No. 61 A Palebon Pedurungan Semarang, Jawa Tengah. Sejarah LRC KJHAM berawal dari pembentukan kelompok kerja dengan fokus untuk pembelaan hak-hak perempuan di wilayah Jawa Tengah. Pembentukan kelompok kerja ini diinisiasi oleh LBH Semarang - Yayasan LBH Indonesia yang kemudian dikenal dengan nama Kelompok Kerja untuk Keadilan Jender dan Hak Asasi Manusia atau K3JHAM pada tanggal 24 Juli 1999. Pendirian K3JHAM bersamaan dengan peringatan hari internasional ‘Anti Kekerasan Terhadap Perempuan’. 
 
Visi dan Misi
Menguatnya akses dan kontrol perempuan miskin rentan dan marjinal terhadap sumber daya hukum dan HAM demi terwujudnya keadilan jender. Yang akan dicapai melalui Misi : 
Memperkuat akses perempuan miskin rentan marjinal terhadap bantuan hukum yang berkeadilan Gender.
Mengembangkan pengelolaan pengetahuan untuk mempromosikan hak asasi perempuan.
Memperkuat gerakan perempuan sebagai gerakan perubahan sosial.
Memperkuat akuntabilitas, manajemen dan tata kelola organisasi.
 
Kemudian, pada Renstra LRC-KJHAM di tahun 2019, dirumuskan teori perubahan sebagai berikut:
Teori Perubahan LRC-KJHAM
Untuk Mewujudkan Keadilan Gender dan Pemenuhan Hak Asasi Perempuan Miskin
Teori perubahan untuk mewujudkan keadilan gender adalah sebagai berikut: 
 
1. Perempuan Korban Mampu Menggunakan Sarana Hukum Untuk Mengakses Keadilan Gender
1.1 Perempuan memiliki pengetahuan dan informasi tentang HAM.
1.2 Perempuan memiliki pengetahuan tentang keparalegalan.
1.3 Perempuan korban memiliki organisasi survivor dan komunitas yang kuat.
 
2. Kelembagaan Penanganan Kasus Kekerasan Berbasis Jender yang Melibatkan Aparat 1.5 Penegak Hukum, Pemerintah, Masyarakat Sipil (Pendamping) yang Bekerja Berdasarkan Prinsip-prinsip HAM. 
 
2.1 Sistem kelembagaan penanganan kasus KBJ dapat berjalan efektif  & memegang prinsip HAM.
2.2 Aparat penegak hukum menjalankan sistem peradilan pidana sesuai standar HAM & berkeadilan gender dalam penanganan kasus KBJ.
2.3 Pendamping memiliki kapasitas hukum, HAM & gender dalam penanganan kasus KBJ.
 
3. PUG Dalam Sistem Perencanaan Pemerintah dan & Penganggaran di Daerah dan Desa Dapat Dilaksanakan.
3.1 Dokumen Perencanan dan Legislasi Anggaran Memasukkan Isu perempuan.
3.2 Pembangunan Desa mempromosikan dan Melindungi Hak-hak Perempuan.
3.3 Perempuan Terlibat Secara Akses Dalam Perencanaan dan Penganggaran di Daerah dan Desa.
 
4. Gerakan Masyarakat Sipil dan Akademisi Terkonsolidasi untuk Mewujudkan Keadilan Gender.
4.1 Masyarakat Sipil memiliki komitmen untuk terlibat mengawal isu keadilan gender.
4.2 LRC-KJHAM Responsif dengan Isu Struktural yang berdampak pada Keadilan gender.
 
5. Media Memiliki Pengetahuan & Pemahaman Tentang Keadilan Gender dan Hak Asasi Perempuan Dalam Kerja-kerja Jurnalistik
5.1 Menyediakan sarana pembelajaran gender untuk jurnalis.
5.2 Gender Field Trips Bagi Jurnalis Dapat Terfasilitasi.
5.3 Menyediakan Data Untuk Informasi dan Dokumentasi Kasus.";Jl. Kauman Raya No 61A, Palebon, Pedurungan, Kota Semarang, Jawa Tengah;";085641180069";lrc_kjham2004@yahoo.com;";Pendampingan hukum (Litigasi)
;Konsultasi hukum
;Konseling dengan konselor komunitas";
38;WCC Nurani Perempuan;;"Nurani   Perempuan   Women’s   Crisis   Center  (NPWCC)   adalah   sebuah   lembaga   layanan   bagi perempuan   korban   kekerasan.  Lembaga   ini   berdiri   sejak   November   tahun   1999,   karena keprihatinan    terhadap   isu   kekerasan   berbasis  gender.  Bentuk  kekerasan  berbasis  gender  yang ditangani diantaranya kekerasan dalam rumah tangga dan kekerasan seksual.
 
Visi dan misi Nurani Perempuan
VISI: 
Terpenuhinya hak  asasi perempuan (khususnya  perempuan korban kekerasan) dalam 
mendapatkan keadilan, perlindungan dan pemulihan.
MISI: 
1. Melakukan kegiatan layanan bagi perempuan korban kekerasan. 
2. Melakukan kegiatan pendidikan untuk pencegahan berbagai bentuk diskriminasi 
dan kekerasan terhadap perempuan. 
3.   Melakukan   advokasi   dalam   penanganan   berbagai   kasus   kekerasan  terhadap 
perempuan dan kebijakan yang mendiskriminasi perempuan.
 
Ada 3 mandat kerja WCC Nurani Perempuan:
1. Melakukan penanganan kasus kekerasan berbasis gender
2. Melakukan pencegahan kekerasan berbasis gender
3. Melakukan Advokasi terhadap kebijakan yang diskriminatif
 
WCC Nurani Perempuan menyediakan layanan dalam melakukan penanganan kasus kekerasan berbasis gender, layanan yang tersedia diantaranya:
1. Layanan Konsultasi
2. Layanan Pendampingan
3. Layanan Pemulihan
4. Layanan Rumah Aman
5. Layanan Rrintegrasi Sosial";Minahasa III, no.9, Jati, Padang Timur, Padang, Sumatera Barat;";082386850600";nuraniperempuan@yahoo.com;";Konseling dengan psikolog
;Pemberdayaan Ekonomi
;Konsultasi hukum
;Mediasi
;Pendampingan hukum (Litigasi)
;Konseling dengan konselor komunitas
;Rumah aman
;Layanan medis";
39;SPI Labuhanbatu;;SPI Labuhanbatu adalah tempat belajar dan berjuang bersama kaum perempuan desa dlm mewujudkan pemenuhan hak2 kaum perempuan  dgn prinsip :kepedulian,keadilan,kesetaraan,persaudaraan sesama perempuan,dan anti kekerasan, yg mempunyai cita2/Visi :terwujudnya masyarakat yg adil dan sejahtra tanpa ada penindasan antara perempuan dan laki2dgn memberikan pemghargaan yg sama terhadap hak2 yg dimiliki perempuan dan laki2.;Jl.H.Adam Malik perumahan Ganda Asri No.19 J, Ujung Bandar, Rantau Selatan, Labuhanbatu, Sumatera Utara;";085261576319
;081397151711";Spilb_labuhanbatu@yahoo.com;";Rumah aman
;Konsultasi hukum
;Konseling dengan konselor komunitas
;Pendampingan hukum (Litigasi)";
40;Amita WCC Ponorogo;;Amita WCC Ponorogo merupakan suatu lembaga layanan, pendampingan, perlindungan, pemulihan dan pemberdayaan terhadap perempuan dan anak korban kekerasan. Pendampingan korban meliputi pendampingan psikologi (konseling), pendampingan hukum & pendampingan psiko sosial di wilayah kabupaten Ponorogo. Dengan visi misi   terwujudnya perlindungan HAM bagi perempuan dan anak yang partisipatif dan sensitif gender;Jl. Halim Perdanakusuma no. 15B, Kelurahan Tonatan, Ponorogo, Jawa Timur;";    +62895-1610-0333";amitawccponorogo@gmail.com;";Konseling dengan psikolog
;Konsultasi hukum
;Mediasi
;Pendampingan hukum (Litigasi)
;Konseling dengan konselor komunitas
;Pemberdayaan Ekonomi";
41;Himpunan Wanita Disabilitas Indonesia (HWDI);;"Himpunan Wanita Disabilitas Indonesia (HWDI) adalah organisasi penyandang disabilitas yang ada di Indonesia.  Didirikan pada 9 September 1997 di Jakarta, dan saat ini memiliki 32 Dewan Pengurus Daerah di tingkat provinsi dan 95 Dewan Pengurus Cabang di tingkat kabupaten / kota. dan telah terdaftar secara resmi di Kementerian Hukum dan HAM RI dengan No : AHU-204.AH.01.07 Tahun 2014. 
 
Sebagai organisasi representasi perempuan disabilitas, HWDI merupakan bagian dari masyarakat yang memperjuangkan implementasi hak – haknya baik diranah ekonomi, social dan perlindungan hukum, serta mempunyai kepentingan untuk menjalankan amanat program kerja dan menyempurnakan proses-proses advokasi, pemberdayaan dan pelayanan strategis agar efektif, cepat tanggap dan berdampak luas bagi perempuan disabilitas pada khususnya dan  masyarakat pada umumnya dalam menuju masyarakat yang inklusif berdasarkan Convention on the Right of Person with Disabilities (Konvensi Hak Hak Penyandang Disabilitas)  dan  Undang - Undang No. 8 Tahun 2016 tentang Penyandang Disabilitas.  Dalam kerjanya HWDI secara rutin berpartisipasi aktif untuk memastikan berbagai  kebijakan nasional dan lokal bersifat inklusif bagi penyandang disabilitas  sejalan dengan strategi Pemerintah pada Tujuan Pembangunan Berkelanjutan (TPB).";Jl. Cempaka Putih Tengah XXVI A No. 11A, RT. 002/006 Cempaka Putih, Jakarta Pusat 10510, Indonesia;";0818650416
;087889309301";hwdi.info@gmail.com;";Konseling dengan psikolog
;Konsultasi hukum
;Mediasi
;Pemberdayaan Ekonomi
;Konseling dengan konselor komunitas
;Pendampingan disabilitas dan JBI";
42;HWDI DKI Jakarta;;"HWDI didirikan tanggal 9 September1997 di Jakarta, saatini memiliki 33 Dewan Pengurus Daerah di tingkat Provinsi dan 95 Dewan Pengurus Cabang di tingkat Kabupaten/Kota.dan telah terdaftar secara resmi di Kementrian Hukum dan HAM RI dengan no :AHU-204.01.07 Tahun 2014.
Sebagai Organisasi Perempuan Disabilitas, HWDI bertujuan memperjuangkan Hak-Hak perempuan dan anak disabilitas di bidang Ekonomi, Sosial, Advokasidan pemberdayaan menuju masyarakat yang inklusif";JL. BumiRaya V no 4 RT 009/03, Duret Sawit, Jakarta Timur, DKI Jakarta;";085281277112";muharyati2854@gmail.com;";Pendampingan hukum (Litigasi)";
43;Yayasan Pulih;;"Yayasan Pulih adalah organisasi profesi nirlaba yang didirikan pada 24 Juli 2002. Isu utamanya adalah mempromosikan kesehatan mental dengan fokus pada pemberian dukungan psikososial bagi penyintas kekerasan struktural dan masyarakat yang terkena dampak kekerasan dan bencana. Yayasan Pulih merupakan pusat layanan psikososial nasional untuk pencegahan dan intervensi kekerasan tersebut, khususnya kekerasan berbasis gender, termasuk dalam konteks bencana dan konflik. Pekerjaan dilakukan melalui layanan konseling dan trauma healing; pemeriksaan psikologis untuk proses hukum; pengembangan dan diseminasi psikoedukasi melalui media sosial, penelitian, pelatihan, dan advokasi; dan program pemberdayaan psikososial berbasis komunitas/kelembagaan. Pekerjaan kami meliputi dampak psikologis dari pandemi COVID-19 yang dikategorikan sebagai bencana non alam.
 
Para Pendiri (Dr. Kristi Poerwandari, Psi, M.Hum., Dr. Livia Istania Dea Flavia, Psi, M.Si., Prof. Dr. Saparinah Sadli, Dr. Karlina Supeli, dan Prof. Irwanto, PhD, serta Ali Aulia Ramly, S.Psi, M.A) mengamati adanya kesenjangan antara kebutuhan akan layanan kesehatan psikologis/mental yang profesional dan terjangkau bagi masyarakat dengan ketersediaan layanan tersebut yang disediakan oleh para profesional yang memahami permasalahan serta konteks budaya dan sosial mereka. Yayasan Pulih didirikan untuk mengurangi kesenjangan tersebut.
 
Sejak berdirinya Yayasan Pulih telah memberikan layanan kepada banyak penerima manfaat di seluruh Indonesia. Penerima manfaat adalah perempuan, laki-laki, dan anak-anak (laki-laki dan perempuan) yang menjadi korban kekerasan dan bencana. Pulih memperkuat kapasitas lembaga dan penyedia layanan agar mampu merespon kebutuhan psikososial korban kekerasan. Dengan fokusnya, Yayasan Pulih bekerja tanpa henti sebagai sebuah tim dan sebagai bagian dari sistem penyedia layanan yang lebih luas untuk memberikan layanan psikososial bagi para penyintas, mengadvokasi kebutuhan para penyintas, dan melakukan penelitian untuk mempromosikan program dan kebijakan pencegahan dan intervensi yang lebih baik. . Dalam 3 tahun terakhir hampir 2.000 penerima manfaat mengakses layanan konseling di Yayasan Pulih dan sekitar 47.000 pengikut media sosial secara rutin menerima psikoedukasi kesehatan jiwa dari platform media sosial Yayasan Pulih (IG, FB, dan twitter). Akun twitter Yayasan Pulih telah diberikan lencana terverifikasi biru yang menunjukkan bahwa akun itu asli milik Yayasan Pulih.
 
Kantor pusat Yayasan Pulih berada di Jakarta. Total staf di kantor pusat adalah 11 orang dengan 42 psikolog rekanan. Menjadi anggota Forum Pengada Layanan (FPL) khususnya di Klaster Nasional Tanggap Bencana, sub klaster Kesehatan Reproduksi, sub klaster Dukungan Psikososial, dan sub klaster Perlindungan dari Kekerasan Berbasis Gender. Peran Yayasan Pulih adalah memberikan layanan dan pelatihan serta mengembangkan pedoman dan pedoman bagi anggota sub-cluster di bawah pimpinan Kementerian Kesehatan, Kementerian Pemberdayaan Perempuan dan Perlindungan Anak, dan Kementerian Sosial, yang dipimpin bersama oleh UNFPA.";Jl Teluk Peleng 63A, Pasar Minggu, Jakarta Selatan, DKI Jakarta;";    +62 811-8436-633";pulihfoundation@gmail.com;";Konseling dengan psikolog";
44;Perkumpulan LBH APIK Aceh;;"LBH APIK Aceh adalah sebuah lembaga nirlaba yang lahir  sebagai salah satu alternatif solusi atas realitas konflik Aceh yang berkepanjangan dan telah menyisakan para korban, terutama perempuan. Faktor terkait lainnya adalah adanya eksploitasi terhadap sumber daya perempuan, penghancuran secara struktural dalam aspek hukum, politik, ekonomi, sosial dan budaya serta mengakarnya budaya patriarki. Kondisi ini berujung pada ketidakseimbangan relasi antara laki-laki dan perempuan.  
Yayasan LBH APIK Aceh didirikan oleh delapan orang aktivis perempuan Aceh  yang pada umumnya berprofesi sebagai pengacara. Sejak 28 Juni 1999, LBH APIK Aceh secara resmi telah menjadi Yayasan LBH APIK Aceh berdasarkan Akta Notaris Siti Maryam Lubis, SH., No. 9,-. Yayasan ini memiliki struktur organisasi, statuta, dan deskripsi pekerjaan, sehingga pelaksanaan tugas lebih terarah dan memudahkan pengawasan program  serta pengelolaan organisasi. Dalam pelaksanaan operasionalnya. Lembaga ini mempunyai tiga divisi, yaitu divisi pelayanan hukum, divisi pendidikan dan kajian publik dan divisi informasi dan dokumentasi.  
Sebagai sebuah lembaga yang memberikan pelayanan terhadap masyarakat, dalam perkembangannya Yayasan LBH APIK Aceh pada bulan September 2003 lalu telah melaksanakan Musyawarah Umum Anggota Perkumpulan (MUAP) pertama (I). Dalam musyawarah tersebut telah disepakati beberapa perubahan yang terjadi dalam tubuh lembaga, di antaranya perubahan bentuk lembaga dari yayasan LBH APIK Aceh menjadi perkumpulan LBH APIK Aceh. Hal ini berdasarkan pertimbangan bahwa yayasan dianggap tidak lagi dapat memberi ruang untuk proses demokratisasi dengan mengacu pada Undang-undang yayasan yang baru. Perubahan bentuk tersebut sejak 31 Januari 2004 telah dinyatakan secara resmi berdasarkan Akta Notaris Nasrullah, SH., No. 141,-.
 
Visi LBH APIK Aceh mendorong terwujudnya sistem hukum yang tidak diskriminatif terhadap perempuan dan terciptanya kondisi kehidupan yang berkeadilan bagi perempuan dalam bermasyarakat dan bernegara. 
Misi LBH APIK Aceh; mengembangkan kesadaran publik akan hak asasi perempuan adalah hak asasi manusia; membangun jaringan kerja untuk memperjuangkan hak asasi manusia dengan fokus pada hak asasi perempuan; mendorong terjadinya pembaharuan nilai, kebijakan dan praktek bermasyarakat bernegara yang berkeadilan gender.";Jl. T. Nyak Arif No. 77, Mns. Mesjid, Muara Dua, Lhokseumawe, Aceh;";0812 651 2694 
;0645 43150";"lbhapikaceh@gmail.com
putro_phang@yahoo.com";";Konseling dengan psikolog
;Konsultasi hukum
;Mediasi
;Pendampingan hukum (Litigasi)";
45;LBH APIK Jakarta;;LBH APIK Jakarta merupakan lembaga bantuan hukum dan advokasi bagi pemenuhan hak perempuan dan anak korban kekerasan. Upaya ini sejak lama kami lakukan guna mendorong perubahan pada substansi, struktur dan budaya hukum di Indonesia. Tujuannya adalah menciptakan hukum yang berpihak pada perempuan dan anak korban yang berkeadilan dan menjunjung tinggi martabat manusia.;Jl. Raya Tengah No 31 Rt/Rw 001/009, Kampung Tengah, Kramatjati, Jakarta Timur, DKI Jakarta;";021-87797289 
;021-87793300
;+6281388822669";infojkt@lbhapik.org;";Konseling dengan konselor komunitas
;Konsultasi hukum
;Mediasi
;Pendampingan hukum (Litigasi)";
46;"Yayasan Amnaut Bife""Kuan"" Nusa Tenggara Timur/YABIKU NTT";;"Yayasan Amnaut Bife “Kuan” Nusa Tenggara Timur (YABIKU NTT) memfokuskan pelayanan pada pemberdayaan dan penguatan perempuan yang berprespektif gender. Sejak
berdiri, YABIKU bekerja dengan masyarakat akar rumput. Namun sistem tatanan masyarakat Nusa Tenggara Timur dengan berbagai budaya dan pola kehidupan yang berbeda,
menjadi salah satu factor penyebab ketidakadilan dalam kehidupan bermasyarakat. Ketidakadilan itu didasarkan pada jenis kelamin dimana kaum perempuan selalu dianggap lemah
atau dianggap tidak bisa berbuat apa-apa. Kondisi inilah yang menyebabkan kaum perempuan selalu dinomorduakan. Sehubungan dengan aspek gender maka dapat dikatakan bahwa perlakuan sesama manusia antara
perempuan dengan perempuan, antara perempuan dengan
laki-laki, dan atau antara laki-laki dengan perempuan masih
banyak terjadi ketidakadilan. Ketidakadilan ini muncul karena
perlakuan yang diskriminatif yang beralaskan pada kebiasaan
hidup masyarakat yang sangat patriarkat. Berbagai tindakan
ketidakadilan ini berdampak pada meningkatnya tindakan
kekerasan terhadap perempuan. Kaum perempuan sampai
saat ini masih mengalami diskriminasi dalam banyak hal.
Berbagai hal itu diantaranya kesempatan memperoleh
pendidikan, posisi penting dalam kehidupan bermasyarakat
dan di tempat kerja, akses teknologi, dan sebagainya.
Dalam kenyataannya ketika kaum perempuan mulai
menyadari akan hak-haknya, mereka diperhadapkan dengan
anggapan-anggapan tradisional yang selalu menghambat
perjuangan kaum perempuan untuk maju. Keadaan inilah
yang menjadi keprihatinan dan kepedulian YABIKU untuk
mewujudkan pola relasi perempuan dan laki-laki yang adil
untuk menciptakan dunia yang adil tanpa kekerasan.";Jl. Ahmad Yani,  Kelurahan Kefamenanu Selatan, Kota Kefamenanu, Timor Tengah Utara/TTU, Nusa Tenggara Timur;";(0388)2430969
;081339438035";nttyabiku61@gmail.com;";Pemberdayaan Ekonomi
;Layanan medis
;Konsultasi hukum
;Mediasi
;Pendampingan hukum (Litigasi)
;Rumah aman
;Konseling dengan konselor komunitas";
